station,fraction,species,raw_density,density_50cm3
st1,>150,Cibicidoides lobatulus,0,0
st1,>150,Cornuspira foliacea,0,0
st1,>150,Cornuspira involvens,0,0
st1,>150,Cornuspira sp.,0,0
st1,>150,Cuneata arctica,2,1.5719006725125468
st1,>150,Dentalina ittai,0,0
st1,>150,Discorbina sp.,0,0
st1,>150,Discorbinella bertheloti,0,0
st1,>150,Eggerella advena,0,0
st1,>150,Elphidium bartletti,0,0
st1,>150,Elphidium clavatum,1,0.7859503362562734
st1,>150,Elphidium sp.,0,0
st1,>150,Epistominella exigua,0,0
st1,>150,Eponides sp.,0,0
st1,>150,Fissurina sp.,0,0
st1,>150,Globobulimina auriculata,0,0
st1,>150,Globobulimina sp.,0,0
st1,>150,Globocassidulina sp.,0,0
st1,>150,Glomospira sp.,0,0
st1,>150,Haplophragmoides sp.,0,0
st1,>150,Hippocrepina sp. ,0,0
st1,>150,Hormosina globulifera,0,0
st1,>150,Hyalinonetrion sp.,0,0
st1,>150,Islandiella helenae,1,0.7859503362562734
st1,>150,Islandiella norcrossi,0,0
st1,>150,Islandiella sp.,0,0
st1,>150,Labrospira crassimargo,0,0
st1,>150,Lagena striata,0,0
st1,>150,Lagenammina atlantica,9,7.0735530263064605
st1,>150,Leptohalysis scottii ,0,0
st1,>150,Lotostomoides calomorpha,0,0
st1,>150,Melonis cf. barleeanus,0,0
st1,>150,Miliolinella circularis,0,0
st1,>150,Miliolinella sp.,0,0
st1,>150,Miliolinella sp. (juvenile),0,0
st1,>150,Nonion commune,0,0
st1,>150,Nonion sp.,0,0
st1,>150,Nonionella digitata,0,0
st1,>150,Nonionella turgida,0,0
st1,>150,Nonionellina labradorica,33,25.936361096457023
st1,>150,Paratrochammina sp.,0,0
st1,>150,Procerolagena gracilis,0,0
st1,>150,Psammosphaera fusca,0,0
st1,>150,Pullenia cf. osloensis,0,0
st1,>150,Pyrgo williamsoni,0,0
st1,>150,Pyrulina cylindroides,0,0
st1,>150,Pyrulina sp.,0,0
st1,>150,Quinqueloculina arctica,0,0
st1,>150,Quinqueloculina seminula,0,0
st1,>150,Quinqueloculina stalkeri,9,7.0735530263064605
st1,>150,Recurvoides turbinatus,0,0
st1,>150,Reophax catella,0,0
st1,>150,Reophax fusiformis,29,22.792559751431927
st1,>150,Reophax scorpiurus,0,0
st1,>150,Reophax sp. ,0,0
st1,>150,Robertina arctica,2,1.5719006725125468
st1,>150,Saccammina cf. sphaerica,0,0
st1,>150,Silicosigmoilina groenlandica,0,0
st1,>150,Siphonaperta agglutinata,0,0
st1,>150,Spiroplectammina biformis,10,7.859503362562734
st1,>150,Stainforthia feylingi,0,0
st1,>150,Stainforthia loeblichi,0,0
st1,>150,Textularia earlandi,11,8.645453698819008
st1,>150,Textularia torquata,0,0
st1,>150,Trifarina fluens,0,0
st1,>150,Triloculina oblonga,2,1.5719006725125468
st1,>150,Triloculina trihedra,0,0
st1,>150,Trochammina inflata,0,0
st1,>150,Trochammina sp.,0,0
st2,63-100,Adercotryma glomeratum,0,0
st2,63-100,Ammodiscus sp.,0,0
st2,63-100,Ammonia sp.,0,0
st2,63-100,Ammotium cassis,0,0
st2,63-100,Astrononion gallowayi,0,0
st2,63-100,Astrononion sp.,0,0
st2,63-100,Baculogypsinoides sp.,0,0
st2,63-100,Bolivina pseudopunctata,3,2.35785100876882
st2,63-100,Buccella frigida,0,0
st2,63-100,Buccella sp.,0,0
st2,63-100,Capsammina bowmanni,886,696.3519979230582
st2,63-100,Cassidulina neoteretis,0,0
st2,63-100,Cassidulina reniforme,4,3.1438013450250937
st2,63-100,Cassidulina sp.,0,0
st2,63-100,Cassidulina sp. morphotype 1,0,0
st2,63-100,Cassidulina sp. morphotype 2,0,0
st2,63-100,Cibicidoides lobatulus,0,0
st2,63-100,Cornuspira foliacea,0,0
st2,63-100,Cornuspira involvens,0,0
st2,63-100,Cornuspira sp.,0,0
st2,63-100,Cuneata arctica,0,0
st2,63-100,Dentalina ittai,0,0
st2,63-100,Discorbina sp.,0,0
st2,63-100,Discorbinella bertheloti,0,0
st2,63-100,Eggerella advena,0,0
st2,63-100,Elphidium bartletti,0,0
st2,63-100,Elphidium clavatum,0,0
st2,63-100,Elphidium sp.,6,4.71570201753764
st2,63-100,Epistominella exigua,0,0
st2,63-100,Eponides sp.,0,0
st2,63-100,Fissurina sp.,0,0
st2,63-100,Globobulimina auriculata,0,0
st2,63-100,Globobulimina sp.,0,0
st2,63-100,Globocassidulina sp.,0,0
st2,63-100,Glomospira sp.,0,0
st2,63-100,Haplophragmoides sp.,0,0
st2,63-100,Hippocrepina sp. ,0,0
st2,63-100,Hormosina globulifera,0,0
st2,63-100,Hyalinonetrion sp.,0,0
st2,63-100,Islandiella helenae,0,0
st2,63-100,Islandiella norcrossi,0,0
st2,63-100,Islandiella sp.,0,0
st2,63-100,Labrospira crassimargo,0,0
st2,63-100,Lagena striata,0,0
st2,63-100,Lagenammina atlantica,0,0
st2,63-100,Leptohalysis scottii ,0,0
st2,63-100,Lotostomoides calomorpha,0,0
st2,63-100,Melonis cf. barleeanus,0,0
st2,63-100,Miliolinella circularis,0,0
st2,63-100,Miliolinella sp.,0,0
st2,63-100,Miliolinella sp. (juvenile),0,0
st2,63-100,Nonion commune,0,0
st2,63-100,Nonion sp.,0,0
st2,63-100,Nonionella digitata,0,0
st2,63-100,Nonionella turgida,0,0
st2,63-100,Nonionellina labradorica,0,0
st2,63-100,Paratrochammina sp.,0,0
st2,63-100,Procerolagena gracilis,0,0
st2,63-100,Psammosphaera fusca,0,0
st2,63-100,Pullenia cf. osloensis,0,0
st2,63-100,Pyrgo williamsoni,0,0
st2,63-100,Pyrulina cylindroides,0,0
st2,63-100,Pyrulina sp.,0,0
st2,63-100,Quinqueloculina arctica,0,0
st2,63-100,Quinqueloculina seminula,0,0
st2,63-100,Quinqueloculina stalkeri,27,21.22065907891938
st2,63-100,Recurvoides turbinatus,0,0
st2,63-100,Reophax catella,0,0
st2,63-100,Reophax fusiformis,0,0
st2,63-100,Reophax scorpiurus,0,0
st2,63-100,Reophax sp. ,0,0
st2,63-100,Robertina arctica,0,0
st2,63-100,Saccammina cf. sphaerica,0,0
st2,63-100,Silicosigmoilina groenlandica,0,0
st2,63-100,Siphonaperta agglutinata,0,0
st2,63-100,Spiroplectammina biformis,4,3.1438013450250937
st2,63-100,Stainforthia feylingi,0,0
st2,63-100,Stainforthia loeblichi,0,0
st2,63-100,Textularia earlandi,77,60.51817589173305
st2,63-100,Textularia torquata,0,0
st2,63-100,Trifarina fluens,0,0
st2,63-100,Triloculina oblonga,0,0
st2,63-100,Triloculina trihedra,0,0
st2,63-100,Trochammina inflata,0,0
st2,63-100,Trochammina sp.,0,0
st2,100-125,Adercotryma glomeratum,0,0
st2,100-125,Ammodiscus sp.,0,0
st2,100-125,Ammonia sp.,0,0
st2,100-125,Ammotium cassis,0,0
st2,100-125,Astrononion gallowayi,0,0
st2,100-125,Astrononion sp.,0,0
st2,100-125,Baculogypsinoides sp.,0,0
st2,100-125,Bolivina pseudopunctata,0,0
st2,100-125,Buccella frigida,0,0
st2,100-125,Buccella sp.,0,0
st2,100-125,Capsammina bowmanni,724,569.0280434495419
st2,100-125,Cassidulina neoteretis,0,0
st2,100-125,Cassidulina reniforme,2,1.5719006725125468
st2,100-125,Cassidulina sp.,0,0
st2,100-125,Cassidulina sp. morphotype 1,0,0
st2,100-125,Cassidulina sp. morphotype 2,0,0
st2,100-125,Cibicidoides lobatulus,0,0
st2,100-125,Cornuspira foliacea,0,0
st2,100-125,Cornuspira involvens,0,0
st2,100-125,Cornuspira sp.,0,0
st2,100-125,Cuneata arctica,0,0
st2,100-125,Dentalina ittai,0,0
st2,100-125,Discorbina sp.,0,0
st2,100-125,Discorbinella bertheloti,0,0
st2,100-125,Eggerella advena,0,0
st2,100-125,Elphidium bartletti,0,0
st2,100-125,Elphidium clavatum,5,3.929751681281367
st2,100-125,Elphidium sp.,0,0
st2,100-125,Epistominella exigua,0,0
st2,100-125,Eponides sp.,0,0
st2,100-125,Fissurina sp.,0,0
st2,100-125,Globobulimina auriculata,0,0
st2,100-125,Globobulimina sp.,0,0
st2,100-125,Globocassidulina sp.,0,0
st2,100-125,Glomospira sp.,0,0
st2,100-125,Haplophragmoides sp.,0,0
st2,100-125,Hippocrepina sp. ,0,0
st2,100-125,Hormosina globulifera,0,0
st2,100-125,Hyalinonetrion sp.,0,0
st2,100-125,Islandiella helenae,0,0
st2,100-125,Islandiella norcrossi,0,0
st2,100-125,Islandiella sp.,0,0
st2,100-125,Labrospira crassimargo,0,0
st2,100-125,Lagena striata,0,0
st2,100-125,Lagenammina atlantica,0,0
st2,100-125,Leptohalysis scottii ,0,0
st2,100-125,Lotostomoides calomorpha,0,0
st2,100-125,Melonis cf. barleeanus,0,0
st2,100-125,Miliolinella circularis,0,0
st2,100-125,Miliolinella sp.,0,0
st2,100-125,Miliolinella sp. (juvenile),0,0
st2,100-125,Nonion commune,0,0
st2,100-125,Nonion sp.,0,0
st2,100-125,Nonionella digitata,0,0
st2,100-125,Nonionella turgida,0,0
st2,100-125,Nonionellina labradorica,0,0
st2,100-125,Paratrochammina sp.,0,0
st2,100-125,Procerolagena gracilis,0,0
st2,100-125,Psammosphaera fusca,0,0
st2,100-125,Pullenia cf. osloensis,0,0
st2,100-125,Pyrgo williamsoni,0,0
st2,100-125,Pyrulina cylindroides,0,0
st2,100-125,Pyrulina sp.,0,0
st2,100-125,Quinqueloculina arctica,0,0
st2,100-125,Quinqueloculina seminula,0,0
st2,100-125,Quinqueloculina stalkeri,6,4.71570201753764
st2,100-125,Recurvoides turbinatus,0,0
st2,100-125,Reophax catella,0,0
st2,100-125,Reophax fusiformis,0,0
st2,100-125,Reophax scorpiurus,0,0
st2,100-125,Reophax sp. ,0,0
st2,100-125,Robertina arctica,0,0
st2,100-125,Saccammina cf. sphaerica,0,0
st2,100-125,Silicosigmoilina groenlandica,0,0
st2,100-125,Siphonaperta agglutinata,0,0
st2,100-125,Spiroplectammina biformis,23,18.076857733894286
st2,100-125,Stainforthia feylingi,0,0
st2,100-125,Stainforthia loeblichi,0,0
st2,100-125,Textularia earlandi,44,34.58181479527603
st2,100-125,Textularia torquata,0,0
st2,100-125,Trifarina fluens,0,0
st2,100-125,Triloculina oblonga,0,0
st2,100-125,Triloculina trihedra,0,0
st2,100-125,Trochammina inflata,0,0
st2,100-125,Trochammina sp.,0,0
st2,125-150,Adercotryma glomeratum,0,0
st2,125-150,Ammodiscus sp.,0,0
st2,125-150,Ammonia sp.,0,0
st2,125-150,Ammotium cassis,0,0
st2,125-150,Astrononion gallowayi,0,0
st2,125-150,Astrononion sp.,0,0
st2,125-150,Baculogypsinoides sp.,0,0
st2,125-150,Bolivina pseudopunctata,0,0
st2,125-150,Buccella frigida,0,0
st2,125-150,Buccella sp.,0,0
st2,125-150,Capsammina bowmanni,2098,1648.9238054656614
st2,125-150,Cassidulina neoteretis,0,0
st2,125-150,Cassidulina reniforme,2,1.5719006725125468
st2,125-150,Cassidulina sp.,0,0
st2,125-150,Cassidulina sp. morphotype 1,0,0
st2,125-150,Cassidulina sp. morphotype 2,0,0
st2,125-150,Cibicidoides lobatulus,0,0
st2,125-150,Cornuspira foliacea,0,0
st2,125-150,Cornuspira involvens,0,0
st2,125-150,Cornuspira sp.,0,0
st2,125-150,Cuneata arctica,0,0
st2,125-150,Dentalina ittai,0,0
st2,125-150,Discorbina sp.,0,0
st2,125-150,Discorbinella bertheloti,0,0
st2,125-150,Eggerella advena,0,0
st2,125-150,Elphidium bartletti,0,0
st2,125-150,Elphidium clavatum,3,2.35785100876882
st2,125-150,Elphidium sp.,0,0
st2,125-150,Epistominella exigua,0,0
st2,125-150,Eponides sp.,0,0
st2,125-150,Fissurina sp.,0,0
st2,125-150,Globobulimina auriculata,0,0
st2,125-150,Globobulimina sp.,0,0
st2,125-150,Globocassidulina sp.,0,0
st2,125-150,Glomospira sp.,0,0
st2,125-150,Haplophragmoides sp.,0,0
st2,125-150,Hippocrepina sp. ,0,0
st2,125-150,Hormosina globulifera,0,0
st2,125-150,Hyalinonetrion sp.,1,0.7859503362562734
st2,125-150,Islandiella helenae,0,0
st2,125-150,Islandiella norcrossi,0,0
st2,125-150,Islandiella sp.,0,0
st2,125-150,Labrospira crassimargo,0,0
st2,125-150,Lagena striata,0,0
st2,125-150,Lagenammina atlantica,0,0
st2,125-150,Leptohalysis scottii ,0,0
st2,125-150,Lotostomoides calomorpha,0,0
st2,125-150,Melonis cf. barleeanus,0,0
st2,125-150,Miliolinella circularis,0,0
st2,125-150,Miliolinella sp.,1,0.7859503362562734
st2,125-150,Miliolinella sp. (juvenile),0,0
st2,125-150,Nonion commune,0,0
st2,125-150,Nonion sp.,0,0
st2,125-150,Nonionella digitata,0,0
st2,125-150,Nonionella turgida,0,0
st2,125-150,Nonionellina labradorica,0,0
st2,125-150,Paratrochammina sp.,0,0
st2,125-150,Procerolagena gracilis,0,0
st2,125-150,Psammosphaera fusca,0,0
st2,125-150,Pullenia cf. osloensis,0,0
st2,125-150,Pyrgo williamsoni,0,0
st2,125-150,Pyrulina cylindroides,0,0
st2,125-150,Pyrulina sp.,0,0
st2,125-150,Quinqueloculina arctica,0,0
st2,125-150,Quinqueloculina seminula,0,0
st2,125-150,Quinqueloculina stalkeri,5,3.929751681281367
st2,125-150,Recurvoides turbinatus,0,0
st2,125-150,Reophax catella,0,0
st2,125-150,Reophax fusiformis,0,0
st2,125-150,Reophax scorpiurus,0,0
st2,125-150,Reophax sp. ,0,0
st2,125-150,Robertina arctica,0,0
st2,125-150,Saccammina cf. sphaerica,0,0
st2,125-150,Silicosigmoilina groenlandica,0,0
st2,125-150,Siphonaperta agglutinata,0,0
st2,125-150,Spiroplectammina biformis,0,0
st2,125-150,Stainforthia feylingi,0,0
st2,125-150,Stainforthia loeblichi,0,0
st2,125-150,Textularia earlandi,49,38.51156647655739
st2,125-150,Textularia torquata,0,0
st2,125-150,Trifarina fluens,0,0
st2,125-150,Triloculina oblonga,0,0
st2,125-150,Triloculina trihedra,0,0
st2,125-150,Trochammina inflata,0,0
st2,125-150,Trochammina sp.,0,0
st2,>150,Adercotryma glomeratum,0,0
st2,>150,Ammodiscus sp.,0,0
st2,>150,Ammonia sp.,0,0
st2,>150,Ammotium cassis,0,0
st2,>150,Astrononion gallowayi,0,0
st2,>150,Astrononion sp.,0,0
st2,>150,Baculogypsinoides sp.,0,0
st2,>150,Bolivina pseudopunctata,0,0
st2,>150,Buccella frigida,0,0
st2,>150,Buccella sp.,0,0
st2,>150,Capsammina bowmanni,232,182.34047801145542
st2,>150,Cassidulina neoteretis,0,0
st2,>150,Cassidulina reniforme,1,0.7859503362562734
st2,>150,Cassidulina sp.,0,0
st2,>150,Cassidulina sp. morphotype 1,0,0
st2,>150,Cassidulina sp. morphotype 2,0,0
st2,>150,Cibicidoides lobatulus,0,0
st2,>150,Cornuspira foliacea,0,0
st2,>150,Cornuspira involvens,0,0
st2,>150,Cornuspira sp.,0,0
st2,>150,Cuneata arctica,0,0
st2,>150,Dentalina ittai,0,0
st2,>150,Discorbina sp.,0,0
st2,>150,Discorbinella bertheloti,0,0
st2,>150,Eggerella advena,0,0
st2,>150,Elphidium bartletti,0,0
st2,>150,Elphidium clavatum,1,0.7859503362562734
st2,>150,Elphidium sp.,0,0
st2,>150,Epistominella exigua,0,0
st2,>150,Eponides sp.,0,0
st2,>150,Fissurina sp.,0,0
st2,>150,Globobulimina auriculata,0,0
st2,>150,Globobulimina sp.,0,0
st2,>150,Globocassidulina sp.,0,0
